               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  74,              1.1527,             0.91171,              1.2341,             0.84696,             0.79741,             0.86455,             0.69962,             0.63627,             0.96148,             0.70667,              1.1571,            0.007591,            0.007591,            0.007591
                  75,               1.153,             0.91412,              1.2321,             0.84861,             0.79668,             0.86553,             0.70177,             0.63758,             0.96001,             0.70449,              1.1565,            0.007558,            0.007558,            0.007558
                  76,              1.1467,               0.904,              1.2263,             0.85112,             0.79932,             0.86627,             0.70221,             0.63856,             0.95987,             0.70271,              1.1559,            0.007525,            0.007525,            0.007525
                  77,              1.1454,             0.90594,              1.2312,             0.85402,             0.79772,             0.86664,             0.70332,             0.63923,              0.9574,             0.69945,              1.1539,            0.007492,            0.007492,            0.007492
                  78,               1.145,             0.89557,              1.2278,             0.85384,             0.79985,               0.867,             0.70381,             0.64031,             0.95561,             0.69805,              1.1527,            0.007459,            0.007459,            0.007459
                  79,              1.1381,             0.89094,              1.2305,             0.85008,              0.8031,             0.86765,             0.70455,             0.64093,             0.95453,             0.69598,              1.1522,            0.007426,            0.007426,            0.007426
                  80,               1.142,             0.89711,              1.2314,             0.84654,             0.80587,             0.86815,             0.70371,             0.64142,             0.95382,             0.69532,              1.1517,            0.007393,            0.007393,            0.007393
                  81,              1.1437,             0.89149,              1.2244,             0.84865,             0.80536,             0.86869,             0.70491,             0.64202,             0.95308,              0.6948,              1.1508,             0.00736,             0.00736,             0.00736
                  82,              1.1414,             0.89298,              1.2225,              0.8513,             0.80301,             0.86906,             0.70625,             0.64273,             0.95354,             0.69356,              1.1508,            0.007327,            0.007327,            0.007327
                  83,              1.1244,             0.88016,               1.217,             0.85119,             0.80283,             0.86946,             0.70606,             0.64309,             0.95344,              0.6927,              1.1506,            0.007294,            0.007294,            0.007294
                  84,               1.131,              0.8805,               1.221,             0.84928,              0.8062,             0.86968,             0.70724,             0.64342,             0.95294,             0.69063,              1.1507,            0.007261,            0.007261,            0.007261
                  85,              1.1238,             0.87263,              1.2202,             0.85083,             0.80703,             0.87038,              0.7072,             0.64377,             0.95134,             0.68884,              1.1497,            0.007228,            0.007228,            0.007228
                  86,              1.1285,             0.87452,              1.2192,             0.85093,             0.80829,             0.87042,               0.708,             0.64396,             0.95129,             0.68777,              1.1503,            0.007195,            0.007195,            0.007195
                  87,              1.1269,             0.87448,              1.2164,             0.85255,             0.80712,             0.87055,             0.70829,             0.64454,             0.95064,             0.68665,              1.1498,            0.007162,            0.007162,            0.007162
                  88,              1.1186,             0.86438,              1.2111,             0.85149,             0.80881,              0.8712,             0.70899,             0.64463,             0.95041,             0.68599,              1.1495,            0.007129,            0.007129,            0.007129
                  89,              1.1167,             0.86087,              1.2075,             0.85131,             0.80933,             0.87149,              0.7095,             0.64495,             0.95072,             0.68531,              1.1499,            0.007096,            0.007096,            0.007096
                  90,               1.121,              0.8684,              1.2081,             0.85177,             0.80929,             0.87189,             0.71014,             0.64541,             0.95066,             0.68417,              1.1498,            0.007063,            0.007063,            0.007063
                  91,              1.1136,             0.85561,              1.2103,             0.84963,             0.81117,             0.87209,             0.71124,             0.64564,             0.95011,              0.6833,              1.1493,             0.00703,             0.00703,             0.00703
                  92,              1.1115,             0.85287,               1.206,             0.84909,             0.81221,             0.87233,             0.71196,             0.64649,             0.94956,             0.68215,              1.1491,            0.006997,            0.006997,            0.006997
                  93,              1.1153,             0.84925,               1.203,             0.84796,             0.81347,             0.87254,             0.71189,             0.64674,             0.94827,             0.68089,               1.148,            0.006964,            0.006964,            0.006964
                  94,              1.1127,             0.85717,              1.2055,             0.84867,             0.81406,             0.87255,             0.71261,             0.64731,             0.94736,             0.67947,              1.1474,            0.006931,            0.006931,            0.006931
                  95,              1.1179,              0.8453,              1.2049,             0.85141,             0.81158,             0.87274,             0.71333,             0.64753,             0.94672,             0.67892,              1.1467,            0.006898,            0.006898,            0.006898
                  96,               1.114,             0.85295,              1.2025,             0.85319,             0.81003,             0.87271,             0.71329,             0.64771,             0.94661,             0.67855,              1.1464,            0.006865,            0.006865,            0.006865
                  97,              1.1094,             0.84687,              1.2014,             0.85352,             0.80973,             0.87262,              0.7127,             0.64766,              0.9464,             0.67766,              1.1464,            0.006832,            0.006832,            0.006832
                  98,              1.1009,             0.83645,                 1.2,             0.85395,             0.81044,             0.87287,             0.71271,             0.64804,             0.94599,             0.67672,              1.1461,            0.006799,            0.006799,            0.006799
